sample	R1	R2
CRR2978833	/storage3/wuyongjie/Project/centromere/atct/duli/00.clean/CRR2978833.clean.r1.fq.gz	/storage3/wuyongjie/Project/centromere/atct/duli/00.clean/CRR2978833.clean.r2.fq.gz
CRR2978834	/storage3/wuyongjie/Project/centromere/atct/duli/00.clean/CRR2978834.clean.r1.fq.gz	/storage3/wuyongjie/Project/centromere/atct/duli/00.clean/CRR2978834.clean.r2.fq.gz
